dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
43_WDBC,t100,120,adjusted,0,3.00000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,1,1.00000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,2,1.50000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,3,1.50000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,4,1.50000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,5,1.50000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,6,1.50000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,7,1.50000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,8,1.50000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,9,1.50000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,10,1.50000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,11,2.00000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,12,2.00000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,13,1.50000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,14,1.50000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,15,1.00000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,16,1.00000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,17,1.50000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,18,3.00000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,19,1.00000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,20,1.50000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,21,1.50000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,22,1.50000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,23,3.00000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,24,1.50000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,25,1.50000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,26,1.50000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,27,1.50000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,28,1.50000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
43_WDBC,t100,120,adjusted,29,1.50000000,1.00000000,"0.75;1;1.25;1.5;1.75;2;2.5;3"
